genes,Macrophagen00h,Macrophagen02h,Macrophagen06h,Macrophagen12h,Macrophagen24h,Macrophagen48h,Macrophagen72h,Monocyten00h,Monocyten02h,Monocyten06h,Monocyten12h,Monocyten24h,Monocyten48h,Monocyten72h,Neutrophiln00h,Neutrophiln02h,Neutrophiln06h,Neutrophiln12h,Neutrophiln24h,Neutrophiln48h,Neutrophiln72h,NKn00h,NKn02h,NKn06h,NKn12h,NKn24h,NKn48h,NKn72h,pDCn00h,pDCn02h,pDCn06h,pDCn12h,pDCn24h,pDCn48h,pDCn72h,Bn00h,Bn02h,Bn06h,Bn12h,Bn24h,Bn48h,Bn72h,Tn00h,Tn02h,Tn06h,Tn12h,Tn24h,Tn48h,Tn72h
Klf6,-0.53867811601518,0.267777627528289,1.13540709636555,1.49799064713492,-0.571066904496549,-0.337024318639806,-0.989724050223948,0.556001376407331,1.34251957540129,4.07063446705406,2.04368179798873,0.216609506431302,0.137218532851912,-0.439772619363607,-0.304738073899397,-0.295447234185257,1.52102396712796,0.837376661353028,-0.632360771775967,-0.726336850835333,-0.843739544922925,-0.699516453665178,-0.206522166314782,2.05711671963923,0.658559538724262,-0.989724050223948,-0.989724050223948,-0.615696282231257,-0.447692612267395,-0.290121697451533,0.629785621220877,-0.0171974864089456,-0.217462373879236,-0.643073695267744,-0.795598317399894,-0.715390342445278,-0.700993720658365,-0.100996333852851,0.407404420378941,-0.499113644480044,-0.840347917574705,-0.772175380705538,-0.376087559682856,-0.151182738179811,0.78100184684531,-0.0639384310156183,-0.559929158209268,-0.875830013792372,-0.912906492164454
Atf4,-0.495537043403917,-0.0421390244468015,0.727257088850932,1.06243574568786,-0.361823487110695,-0.450615948783414,-0.883173711523589,-0.0997429557267999,0.137206238756806,3.93181381142453,3.86393845881335,0.506588198840615,0.24874875667561,-0.490049752308695,-0.722472819973021,-0.688793521480239,0.192854971576561,0.368863309677712,-0.617714392466339,-0.654254426549721,-0.823593796047778,-0.59131649134328,-0.533297131958661,0.516872969485295,1.2553271748792,0.0815134821396049,-0.414185220488732,-0.883173711523589,-0.586991308088548,-0.464223175406954,0.924309293827189,0.593169187733873,-0.262198044347473,-0.389840301541988,-0.636950539118771,-0.470547428684166,-0.28331923925042,1.17467375762189,0.185636384553349,-0.646909050388669,-0.0497543599106403,-0.630140675551966,-0.341919146395544,-0.423616776362147,0.829372940063419,-0.307833726554916,-0.588107140823147,-0.883173711523589,-0.883173711523589
Ccdc86,-0.636010135120991,-0.325041503328807,1.21514265540169,0.704351842759701,-0.636010135120991,-0.636010135120991,-0.636010135120991,-0.378499356284411,-0.16569954238539,4.56718770383817,3.20258519373005,-0.20610760947693,-0.023193436717757,0.269966107592238,-0.574051695164198,-0.621991047444161,0.709994403607784,0.865804385897826,-0.555363908883382,-0.536557479807795,-0.589281429027933,-0.636010135120991,-0.636010135120991,1.01557235663879,0.0707662769148437,-0.636010135120991,-0.636010135120991,-0.234103356762821,0.297741391868244,-0.297522821423126,1.1910917502957,0.455656650931684,-0.0707361353804748,-0.323495226232091,-0.636010135120991,-0.636010135120991,-0.395358292639598,0.351631794463655,-0.149506419408658,-0.636010135120991,-0.636010135120991,-0.52673238686317,-0.636010135120991,-0.423374408111747,0.819647384633005,0.835638318704925,-0.636010135120991,-0.636010135120991,-0.636010135120991
Ikzf1,-1.06599069658287,0.1783195909713,0.812704064093265,0.160868703129846,-1.61394750464327,-1.24557302841598,-1.64283529375732,0.0738466286413806,1.16037393592897,1.94354132903225,0.471260500420309,0.542647731741202,0.439007857804813,-0.622423602028846,-1.04393584977571,-0.615057130130443,1.31853987582424,0.404332045961494,-0.934549184161507,-1.11938771653327,-1.26623767807762,-0.186020412571823,-0.117959317160425,1.26289282095985,2.30491246504048,-0.0750244620684517,-0.00997542743598254,-1.40703507669779,0.327903497710469,0.721918895140722,1.42676783457374,0.281610747091847,-0.0680228589662901,0.685864105966702,-1.19426891205443,-0.781154256580928,-0.15563604852884,0.852935994689712,0.397656591010456,0.0393077102440175,-0.104147545407583,1.12461023985892,-0.980279793323924,0.420417064175532,0.116532342872509,2.09022519080695,-1.32231381792269,-0.582876005283457,-1.40434614558151
Ddx6,-1.04494009662714,-0.0777100180389859,1.29369093987185,0.489657095182785,-0.831936607214344,-0.789427895970628,-1.86304923875336,-0.062640899673102,0.369187507962037,0.434325071692911,0.893755435275832,1.43532724054206,1.36811625178528,-0.302340060470534,-1.14967824806309,-1.05654569260281,0.221607081659445,0.176252639548237,-0.731806658362339,-0.908552574474011,-1.37231470532725,-0.99135603953482,0.38972755866318,0.804779869678107,2.7489114456748,-0.717786471221693,-1.05900730823063,-0.554024187728175,-0.458377307969979,0.751838369570168,1.42638002849447,0.696834254173983,-0.26091269471065,0.917348124665082,-0.174710076914617,-0.585044016342494,0.338806741975064,2.61453986498388,-0.0197767547364197,-0.225880738783316,0.0632331606105951,-0.618518564923488,-0.935435510105836,-0.323375273092987,1.5815312755422,0.181364479782355,-0.728443376768338,0.057831358920618,-1.41145477961392
Trim25,-0.587030840571275,-0.613164400513249,0.244658177099698,0.393924682160169,-0.693377802597796,-0.52220583089523,-0.568673381185221,-0.0516099496503748,0.582145365656979,0.907235677779857,0.351579275150846,1.08564122355847,1.50206424614777,0.261040415025494,-0.831087489321378,-0.815689817840703,-0.106570910284813,-0.286605097841725,-0.775850428041225,-0.713915409815535,-0.915621728657359,-0.832664435515349,-0.529835231479561,0.388515171377255,2.40511362828577,-1.07659959509349,-1.07659959509349,-0.875201920738076,-0.457965101617336,-0.0991989980903957,1.57584259949206,0.933960089956804,0.00953072196800948,1.05531995039198,-1.07659959509349,-0.419911351355554,-0.102454432553988,3.20928418972191,1.23233721902708,-0.586962623340777,-0.663226657057263,-0.923882227289473,-0.551508794308861,-0.177630258824227,1.40445849668007,1.93773213978357,-0.679084191000218,-0.793055578502866,-1.07659959509349
Gnl3,-0.47208175529744,-0.240567329499942,0.139925605696844,0.00524206710006978,-0.308607995363336,-0.696550121157285,-0.696550121157285,-0.274927719955525,-0.350092649454237,2.95386560542092,1.75143303794654,-0.383334702144145,-0.302015073636454,-0.383577591119091,-0.610683481419373,-0.551668019930423,-0.361750883776239,-0.503733688056642,-0.672808980204982,-0.696550121157285,-0.667863110068126,0.122739432534989,-0.696550121157285,2.61099920928779,0.370263086336725,-0.696550121157285,-0.563533781449465,-0.696550121157285,-0.353396798904889,0.183672126735264,2.76304043037362,0.603284724710049,-0.032034800522691,-0.239033195941047,-0.410448326646188,-0.283402136406159,0.273988687374954,1.59772724260355,-0.32274235797827,-0.514028552219336,-0.514220145708699,-0.57374392533633,-0.484732139039349,-0.0563073553306988,3.07830434034101,0.113483159293141,-0.696550121157285,-0.56423129108809,-0.696550121157285
Taf1d,-0.375088570152288,-0.713901448082986,0.438183634544361,0.358376705977456,-0.629445011312539,-0.469470988139344,-0.604795658090901,-0.0354907536227923,0.448446731562121,3.89683976395243,1.4022392098736,-0.0678765855397219,0.0664249537290921,-0.232642360581924,-0.864781940817428,-0.842646076959954,-0.354207263995216,-0.582024878314392,-0.949155957757723,-0.92083166942911,-0.93086178348379,-0.53900252004149,-0.63787143881788,1.98149892971398,0.898056388750853,-0.987238435507949,-0.664167044399425,-0.236753235361628,0.0608818405473407,0.426490865808176,2.43654913477061,0.359160451542478,-0.527470899836526,-0.141268774895924,-0.371281635766212,-0.304093657281164,-0.000402347609540165,1.38277960157056,-0.0760375398890158,-0.836481263439461,-0.787209837658488,-0.576090602095125,-0.044130104371297,-0.125593251225716,2.47457005082694,0.109367034146659,-0.700819182854849,-0.377294217632014,-0.233438362352833
Gpr65,-0.133239807691504,0.520453125749535,2.39837580710131,0.359275132051098,-0.863618445879775,-0.863618445879775,-0.375920477130915,0.401017748809911,1.05251495910514,2.18605466540225,1.78417953391818,0.116060565502337,0.17394313997228,-0.131657424845184,-0.725588020627736,-0.754697609575223,-0.163000107923412,-0.456174219669087,-0.749332935273769,-0.828342247111004,-0.746667517611377,-0.681133094125542,-0.345827035517386,1.41912138529528,1.97787917694381,-0.863618445879775,-0.303647210639098,-0.563773152152518,-0.546435482179598,-0.39817427683027,2.85384726466952,0.84789223433059,-0.746678833444761,-0.712786783743655,-0.251177480261823,-0.606732580530446,-0.643161894585798,-0.272897123944588,-0.666991264526759,-0.592295211498989,-0.635086919283723,-0.720797595488229,-0.693784125807907,-0.24715756120501,2.41350952016372,0.173338865741671,-0.486912977187392,-0.584803426889278,-0.321733389815339
Snhg1,-0.793752491718856,-0.578882999169008,0.161713312516999,0.847649727409126,-0.793752491718856,-0.0970069618120475,-0.793752491718856,-0.435657787160013,-0.235605903591331,2.79554710315551,3.72059133464287,0.230509138957822,0.0721945946681826,-0.296319633315005,-0.737417924809578,-0.671446055403657,-0.0931636376561821,-0.0261991612198385,-0.722690896468092,-0.689711185908099,-0.766832004375897,-0.793752491718856,-0.793752491718856,0.524356105669533,0.973954772146821,-0.793752491718856,-0.53454067435545,-0.793752491718856,-0.635278047876167,-0.111142291675426,1.88172750502244,1.08443777387337,0.138794910790669,-0.243950978991912,0.131510580922476,-0.379943046455514,-0.429206622925513,0.552014889893729,1.00103377122707,-0.401605635139643,-0.410183086100823,-0.699546971516115,-0.508282108903829,-0.656988103395097,0.677198952610248,2.59167383338469,-0.286273310767877,-0.700647786602513,-0.480118049264929
