cell,alpha,half_life,,
2510002D24Rik,0.00690622455968961,3.02926932228863,,
2510039O18Rik,0.0376222964211873,1.39916848544215,,
2610001J05Rik,0.0325457606334908,1.69088237262885,,
2610002M06Rik,0.0134815768286278,1.55754128314515,,
2610507B11Rik,0.0214884564814357,2.96864196509984,,
2610507I01Rik,0.00359287130561877,4.36190618720366,,
2810004N23Rik,0.0295476754906804,2.14105904032222,,
2810403A07Rik,0.0189397777677077,1.80397601620834,,
2810474O19Rik,0.064135440421986,3.39058294120633,,
2900097C17Rik,0.0176419370726264,1.98737403093664,,
3110002H16Rik,0.00790559842974456,3.58162360119162,,
3110040N11Rik,0.00812141972697615,2.07178207984183,,
3110062M04Rik,0.00505153900774382,3.35843528285389,,
3830406C13Rik,0.00468064025452692,2.80097070502373,,
4632427E13Rik,0.00513385872789721,3.16943902642258,,
4833420G17Rik,0.0288847278977251,2.16815167357932,,
4833439L19Rik,0.0168433625641319,2.21463349943577,,
4921524J17Rik,0.0166217226760011,2.42895540083061,,
4930438A08Rik,0.0143577500180965,3.56996220798016,,
4930453N24Rik,0.0141417052855355,3.22537201787937,,
4930523C07Rik,0.0571238278970928,2.43772229192916,,
4930581F22Rik,0.00599917973989872,5.44389356771385,,
4931406C07Rik,0.00962227847566934,2.74924450137479,,
4931406P16Rik,0.0162480494639134,1.74786289867197,,
4932438A13Rik,0.0526160533121823,4.76963312173649,,
4933408B17Rik,0.00279042803864633,7.47919334663424,,
4933434E20Rik,0.0211065370667501,2.31264058645663,,
5031425E22Rik,0.00874441922199399,2.68218168728728,,
5031439G07Rik,0.0374700407423672,2.39606050800357,,
5430427O19Rik,0.00565654608314719,3.92455025774467,,
6030458C11Rik,0.0101648454727714,1.83688171855182,,
6430548M08Rik,0.0305539632888382,4.46855006880111,,
6530402F18Rik,0.00827497821194553,3.94175186476721,,
9030624J02Rik,0.0113960194821205,2.35021782599127,,
9130401M01Rik,0.00616782352898161,2.98636423718096,,
9530068E07Rik,0.0436808092541363,2.87970427284808,,
9830107B12Rik,0.0103940887430149,5.42398195407168,,
9930021J03Rik,0.0220092617185579,1.83298883930706,,
9930111J21Rik2,0.0162641292291476,4.24370185065171,,
A430005L14Rik,0.0137359593280689,2.10058025596235,,
A530064D06Rik,0.0108917344688391,8.37491437566173,,
A630001G21Rik,0.0175288846245904,2.85959649698578,,
AA467197,0.0195794414458882,5.79022885446856,,
Aaas,0.00752466067905684,2.21282313304057,,
Aacs,0.00968777053788239,3.56345055208419,,
Aaed1,0.0124990170146554,4.247494248906,,
Aagab,0.0283356824724918,1.42716205329363,,
Aak1,0.0168429666427439,4.79294068381272,,
Aamp,0.0347629903462339,2.71730836162261,,
Aars,0.0110775057366568,2.68519621802075,,
Aasdhppt,0.0135596093389428,1.72332887072023,,
Aatk,0.00440137174662003,2.70909366627655,,
AB124611,0.0354558719691471,5.85792370407804,,
Abca13,0.0129341354183023,3.69871300737755,,
Abca3,0.00555872598485212,3.81498867918276,,
Abca7,0.0151349562331886,4.58327867493447,,
Abcb10,0.00572421082053375,2.64363174205429,,
Abcb7,0.022572630907057,2.05372277547917,,
Abcc1,0.0119435597960842,1.97430398060032,,
Abcc4,0.0118282916208867,2.1584618281165,,
Abcc5,0.021727901036179,2.11744758284254,,
Abcd1,0.0182675938946891,3.11277549062419,,
Abcd2,0.0207013512763862,3.96822963356187,,
Abcd3,0.00941612654693699,2.70000700169072,,
Abce1,0.051592538552485,1.34149462898013,,
Abcf1,0.0547727455711804,2.20329684592652,,
Abcf2,0.0184788970767867,2.07789672206219,,
Abcf3,0.00825994910773884,3.25599698649045,,
